Periodo,termo,valor (%)
2023-02-19,Eficiência Energética,1
2023-02-19,Energia Elétrica,24
2023-02-19,Energia Solar,55
2023-02-19,Energia Eólica,5
2023-02-26,Eficiência Energética,1
2023-02-26,Energia Elétrica,39
2023-02-26,Energia Solar,70
2023-02-26,Energia Eólica,9
2023-03-05,Eficiência Energética,2
2023-03-05,Energia Elétrica,40
2023-03-05,Energia Solar,64
2023-03-05,Energia Eólica,10
2023-03-12,Eficiência Energética,2
2023-03-12,Energia Elétrica,43
2023-03-12,Energia Solar,65
2023-03-12,Energia Eólica,10
2023-03-19,Eficiência Energética,2
2023-03-19,Energia Elétrica,44
2023-03-19,Energia Solar,72
2023-03-19,Energia Eólica,11
2023-03-26,Eficiência Energética,3
2023-03-26,Energia Elétrica,45
2023-03-26,Energia Solar,74
2023-03-26,Energia Eólica,12
2023-04-02,Eficiência Energética,3
2023-04-02,Energia Elétrica,37
2023-04-02,Energia Solar,62
2023-04-02,Energia Eólica,10
2023-04-09,Eficiência Energética,3
2023-04-09,Energia Elétrica,42
2023-04-09,Energia Solar,64
2023-04-09,Energia Eólica,10
2023-04-16,Eficiência Energética,3
2023-04-16,Energia Elétrica,37
2023-04-16,Energia Solar,59
2023-04-16,Energia Eólica,9
2023-04-23,Eficiência Energética,3
2023-04-23,Energia Elétrica,38
2023-04-23,Energia Solar,64
2023-04-23,Energia Eólica,11
2023-04-30,Eficiência Energética,2
2023-04-30,Energia Elétrica,34
2023-04-30,Energia Solar,60
2023-04-30,Energia Eólica,10
2023-05-07,Eficiência Energética,2
2023-05-07,Energia Elétrica,37
2023-05-07,Energia Solar,61
2023-05-07,Energia Eólica,11
2023-05-14,Eficiência Energética,3
2023-05-14,Energia Elétrica,35
2023-05-14,Energia Solar,66
